Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
1,1,0,2,0.992773143,0.24137931,1,2,0,0,1,0,2
2,0,0,1,0.771270492,0.0,0,1,0,0,0,0,1
0,0,2,3,0.210717592,0.896551724,0,2,0,0,0,0,4
1,1,0,3,0.501964966,0.482758621,0,3,1,0,0,0,3
1,1,0,2,0.233840415,0.586206897,1,3,0,0,0,0,4
2,0,0,1,0.409978808,0.0,0,1,1,0,0,0,1
0,0,1,1,0.780927801,0.344827586,0,3,0,1,0,0,2
0,1,1,4,0.77205841,0.75862069,1,1,1,0,0,0,4
1,0,0,0,0.22830968,0.034482759,0,2,0,1,0,1,2
0,1,0,1,0.923230477,0.0,0,3,1,0,0,0,1
1,0,0,1,0.593196421,0.379310345,0,1,0,0,0,0,3
1,0,0,1,0.380308106,0.517241379,0,2,0,0,0,1,4
1,0,1,1,0.502459641,0.724137931,0,3,1,0,0,0,4
1,0,1,2,0.605713863,0.724137931,0,4,0,1,0,0,4
2,1,0,1,0.560481209,0.310344828,1,2,0,0,0,0,3
0,0,0,2,0.486911245,0.586206897,1,0,0,1,0,0,4
2,0,3,1,0.50546031,0.482758621,0,2,1,1,0,0,3
2,1,0,0,0.176561799,0.551724138,1,2,0,0,0,0,4
2,0,1,3,0.81361421,1.0,0,2,1,0,0,1,4
1,0,0,1,0.542330157,0.310344828,0,2,0,0,1,0,3
0,1,0,3,0.131177643,0.068965517,0,3,0,0,0,1,2
0,0,0,2,0.766984871,0.862068966,0,1,1,0,0,0,4
0,1,1,0,0.933462886,1.0,1,1,0,0,0,0,4
2,1,3,4,0.948342891,0.689655172,0,2,1,0,0,0,4
2,1,0,1,0.369389011,0.517241379,0,2,0,0,0,0,4
0,1,0,3,0.135619755,0.172413793,0,4,0,0,1,0,2
0,0,0,1,0.518942612,0.068965517,0,2,0,1,0,0,2
0,1,0,3,0.11268578,0.275862069,0,3,0,0,1,0,3
2,0,0,0,0.9350081,0.344827586,0,3,1,0,0,0,2
2,0,0,2,0.183737755,0.689655172,0,3,1,0,0,0,4
0,0,2,2,0.253003513,0.413793103,1,0,0,1,0,0,4
0,0,0,3,0.407051046,0.586206897,0,4,0,0,0,1,4
2,0,0,3,0.383552008,0.862068966,0,1,0,1,0,0,4
0,0,3,3,0.795523428,0.724137931,0,0,1,1,0,0,4
0,0,0,3,0.456788445,0.931034483,1,2,1,1,0,0,4
0,0,3,1,0.170911661,0.793103448,0,1,0,0,0,0,4
2,0,0,1,0.267464151,0.896551724,1,1,0,0,0,0,4
0,0,2,1,0.509645696,0.724137931,1,1,0,1,0,0,4
0,1,1,1,0.14757052,0.103448276,1,1,1,1,0,0,1
1,1,2,1,0.612305854,0.724137931,1,3,1,1,0,0,4
1,1,3,2,0.566344715,0.793103448,1,1,0,0,0,0,4
1,0,0,1,0.715470941,0.24137931,0,2,0,0,0,0,2
0,1,3,2,0.938729569,0.413793103,1,4,0,0,0,0,2
2,1,0,1,0.913250262,0.310344828,0,2,0,1,0,0,2
2,1,0,1,0.947110194,0.034482759,1,3,1,1,0,0,1
2,0,0,2,0.244943997,0.24137931,0,4,0,0,1,0,2
2,0,1,2,0.131663646,0.172413793,0,1,1,0,0,0,2
1,0,0,2,0.302571264,0.517241379,0,2,0,0,0,0,4
0,0,1,2,0.896061138,0.586206897,0,3,0,0,1,0,3
0,1,1,1,0.973117911,0.551724138,0,4,1,0,0,0,3
1,1,2,2,0.860259812,0.172413793,0,3,0,0,0,0,2
0,1,2,0,0.110091293,0.413793103,1,1,1,0,1,0,4
1,1,0,1,0.948464129,0.75862069,0,4,0,0,1,0,4
2,0,0,2,0.423791767,0.448275862,0,1,0,1,0,0,4
1,0,0,0,0.009268105,1.0,1,2,1,1,0,0,4
2,0,0,1,0.442849361,0.862068966,0,2,0,1,0,0,4
2,1,0,4,0.046069236,0.689655172,0,2,0,1,1,0,4
0,0,0,4,0.544450192,1.0,0,3,1,0,0,0,4
1,0,0,1,0.33889029,0.310344828,1,3,0,1,0,0,2
0,1,3,0,0.473926234,0.793103448,0,3,0,1,0,0,4
1,1,1,1,0.61382228,0.344827586,0,0,1,0,1,0,4
1,0,0,1,0.869746849,0.413793103,0,2,0,0,1,0,3
0,0,1,3,0.66260951,0.379310345,0,3,0,1,0,0,3
0,0,0,1,0.434494897,0.275862069,0,2,0,1,0,0,3
1,0,0,2,0.820316855,0.103448276,1,4,0,0,0,0,1
0,0,1,1,0.906570168,0.206896552,1,3,1,0,0,0,1
2,0,0,4,0.119844736,0.793103448,0,3,0,1,0,0,4
0,1,0,1,0.532491519,0.965517241,0,0,0,1,0,0,4
2,1,3,2,0.284786103,0.724137931,1,3,0,0,1,0,4
0,1,2,1,0.047062405,0.034482759,0,4,0,0,1,0,1
0,0,1,2,0.669262266,0.206896552,0,2,1,0,0,0,2
0,1,1,1,0.863709599,0.965517241,0,3,0,0,1,1,4
0,0,1,1,0.163037015,0.275862069,0,2,1,1,0,0,2
0,0,0,3,0.813294596,0.137931034,1,2,0,0,0,0,1
0,1,0,3,0.854323779,0.482758621,0,3,1,0,1,0,3
0,0,0,3,0.915338541,0.586206897,0,3,0,1,0,0,4
2,0,0,2,0.265537133,0.103448276,0,3,0,0,0,0,2
2,1,1,3,0.904939224,0.620689655,1,1,1,1,0,0,3
1,1,0,0,0.320978452,0.655172414,0,1,0,0,0,0,4
2,1,3,1,0.552920009,0.862068966,0,3,0,1,0,0,4
1,0,3,1,0.050512639,0.206896552,0,1,0,1,0,0,3
2,1,2,2,0.04387864,0.862068966,0,2,0,0,0,0,4
0,1,1,1,0.721148356,0.24137931,0,0,1,1,0,0,2
2,0,2,1,0.444937996,0.551724138,0,1,0,1,0,0,4
1,1,0,2,0.256534082,0.413793103,0,3,1,1,0,0,3
1,1,2,3,0.190579479,0.793103448,0,3,0,0,0,0,4
0,1,0,1,0.670670679,0.689655172,1,1,1,0,1,1,4
0,0,2,1,0.000349118,0.931034483,0,1,0,0,1,0,4
2,0,0,1,0.806764611,0.75862069,0,0,1,0,1,0,4
0,0,2,1,0.079287812,0.344827586,0,2,0,0,1,1,3
2,0,3,1,0.191656834,0.896551724,0,1,0,0,0,1,4
2,1,0,2,0.386627466,0.0,0,2,1,1,0,0,1
0,0,0,2,0.485363171,0.034482759,1,3,0,0,0,0,1
0,0,3,2,0.355350276,0.551724138,1,3,0,1,0,0,3
0,1,0,1,0.321027919,0.137931034,0,1,1,1,0,0,2
0,1,2,3,0.964971095,1.0,0,3,0,0,0,1,4
0,1,1,1,0.642264255,1.0,0,4,0,0,1,0,4
2,0,0,2,0.023407003,0.172413793,0,2,0,1,0,0,2
0,0,0,3,0.430617485,0.862068966,0,2,1,0,1,1,4
0,0,0,1,0.875961588,0.827586207,0,2,0,0,0,0,4
1,1,2,1,0.301749807,0.793103448,1,1,1,1,0,1,4
0,1,0,3,0.094612145,0.206896552,0,3,1,0,1,1,2
0,0,1,1,0.759203607,0.931034483,0,3,1,1,0,0,4
2,1,0,2,0.606657525,0.689655172,1,2,0,1,0,0,4
0,1,1,0,0.570915164,1.0,0,3,1,0,0,0,4
0,1,2,2,0.053585255,0.482758621,0,3,0,1,1,1,3
0,0,3,1,0.140607618,0.620689655,0,0,1,0,0,1,4
2,1,0,0,0.623212096,0.517241379,0,1,0,1,0,0,4
0,1,2,2,0.208009836,0.827586207,1,3,1,1,0,0,4
1,0,2,1,0.504596594,0.413793103,1,4,0,0,0,0,2
2,0,1,1,0.545455111,0.137931034,1,3,0,0,0,0,1
1,1,3,0,0.283780179,0.068965517,1,4,0,0,1,0,1
2,1,0,1,0.949462432,0.068965517,0,2,0,0,0,0,1
0,0,0,1,0.843379587,0.620689655,1,1,0,1,1,0,4
1,0,2,0,0.72315095,0.448275862,1,2,0,0,0,0,3
2,1,0,3,0.078030629,0.517241379,0,0,0,0,0,1,4
0,1,2,0,0.106199122,0.724137931,0,3,1,0,1,0,4
0,1,2,2,0.493294884,0.551724138,0,4,0,0,0,0,4
2,1,0,1,0.160845193,0.896551724,0,3,0,1,0,0,4
0,0,2,1,0.97933704,0.103448276,0,2,1,0,1,1,1
2,1,0,3,0.158649557,0.413793103,1,1,1,1,0,0,3
0,1,1,1,0.487975266,0.24137931,1,1,0,1,1,0,2
0,0,1,4,0.364486707,0.620689655,0,2,0,0,0,0,4
1,1,3,1,0.640068475,0.137931034,0,3,0,0,0,0,1
0,0,0,2,0.129131842,0.034482759,1,2,1,0,1,0,1
2,1,0,2,0.430758166,0.482758621,0,4,1,0,0,0,2
0,1,1,3,0.274967904,0.034482759,0,3,1,0,0,0,1
0,0,2,2,0.88871906,0.344827586,1,1,0,1,0,0,2
2,0,1,2,0.040579476,0.413793103,1,1,1,1,0,0,3
2,1,0,1,0.914724888,0.75862069,1,3,0,0,0,0,4
2,1,0,1,0.833898733,0.310344828,0,1,0,0,0,0,3
0,1,0,3,0.297859871,0.068965517,0,3,0,0,0,0,1
0,0,2,1,0.790145015,0.137931034,1,2,0,1,0,0,1
0,1,0,1,0.031196551,0.068965517,0,1,1,0,0,0,3
1,0,0,2,0.967924023,0.172413793,1,2,1,0,0,0,1
0,0,3,1,0.527147348,0.413793103,0,2,1,0,0,0,3
0,1,0,4,0.303576744,0.310344828,0,3,0,1,0,0,3
0,0,3,2,0.362947095,0.620689655,0,0,1,0,1,1,4
1,1,1,2,0.066428795,0.24137931,0,3,1,0,0,0,2
0,1,2,3,0.990433831,0.586206897,1,3,0,0,0,0,3
2,1,0,0,0.039284222,0.068965517,0,3,1,0,0,0,1
0,1,0,1,0.655607016,0.793103448,1,0,1,1,0,0,4
2,1,2,2,0.443191941,0.793103448,1,3,0,0,0,0,4
2,0,2,1,0.949954059,0.551724138,0,2,1,0,1,0,3
2,0,2,2,0.246229616,0.24137931,1,2,1,1,0,0,3
1,1,0,3,0.532645542,0.310344828,0,3,1,0,0,0,2
1,1,2,2,0.482857764,0.034482759,1,2,1,0,0,1,1
1,0,2,1,0.703621464,0.379310345,0,3,0,1,0,0,3
0,0,1,4,0.068035518,0.75862069,0,1,1,1,0,1,4
2,0,2,2,0.193958993,0.172413793,0,3,1,0,0,0,2
1,0,2,2,0.214758563,0.034482759,0,1,0,1,1,0,2
1,1,1,1,0.738946332,0.689655172,1,3,0,1,0,0,4
0,1,0,3,0.189303214,0.75862069,0,4,1,0,0,1,4
1,0,0,2,0.574098075,0.793103448,0,2,0,0,0,0,4
0,1,0,2,0.215438344,0.068965517,0,2,1,0,0,0,1
0,0,0,3,0.862562455,0.551724138,1,3,1,1,0,0,2
1,1,0,1,0.943215559,0.965517241,0,0,0,1,1,1,4
0,0,0,2,0.519036067,0.206896552,0,2,0,0,0,0,2
0,1,0,3,0.352660957,0.965517241,0,2,0,0,0,0,4
2,0,0,1,0.234273924,0.689655172,0,3,0,0,0,1,4
1,0,2,2,0.049785334,0.137931034,1,3,1,0,0,1,1
0,1,3,3,0.268755815,0.75862069,1,3,0,0,0,0,4
2,0,0,2,0.654934902,0.0,1,3,0,0,1,1,1
2,1,3,2,0.534177408,0.24137931,0,3,1,0,0,0,2
0,1,1,3,0.945073516,0.379310345,1,2,1,0,0,0,3
0,0,0,3,0.396679875,0.448275862,0,2,0,1,0,0,4
2,1,0,1,0.694608014,0.517241379,1,2,1,1,0,0,2
1,1,1,0,0.48983231,0.310344828,0,4,0,1,0,0,3
1,1,2,2,0.513112507,0.482758621,0,3,1,0,0,0,3
0,1,2,2,0.268029219,0.689655172,0,2,0,1,0,0,4
2,1,0,2,0.455420831,0.793103448,0,3,0,1,0,0,4
0,0,0,2,0.471273252,0.862068966,0,2,1,0,0,1,4
1,1,0,1,0.707401882,0.482758621,1,3,0,0,0,0,3
2,1,0,2,0.941668327,0.310344828,0,2,0,1,0,0,2
2,1,0,1,0.329646927,0.689655172,1,1,1,0,0,0,4
0,1,0,2,0.042196088,0.931034483,0,3,1,0,0,0,4
1,1,2,2,0.496812703,0.206896552,0,3,0,0,0,0,2
1,0,3,1,0.545034274,0.862068966,1,2,1,0,1,0,4
0,1,0,1,0.168581277,0.068965517,0,2,1,0,0,0,2
1,0,3,2,0.761285832,0.034482759,0,3,1,0,0,1,1
0,0,0,2,0.986008344,0.172413793,1,3,0,0,0,0,1
1,0,0,1,0.946808947,0.689655172,0,3,1,0,0,0,4
0,0,0,4,0.197279714,0.275862069,0,2,1,1,0,0,3
1,1,1,2,0.876316536,0.310344828,1,4,1,1,0,0,1
0,0,3,4,0.705250527,0.103448276,0,3,0,0,0,0,2
0,0,1,2,0.454315349,0.896551724,1,3,1,0,0,0,4
0,1,0,2,0.54117951,0.068965517,0,3,0,0,0,0,2
1,1,1,3,0.850523858,0.275862069,0,1,1,0,0,0,2
1,1,0,2,0.480633942,0.793103448,0,0,1,1,0,0,4
0,0,2,2,0.373583463,0.724137931,1,3,0,0,0,0,4
1,1,1,1,0.493761567,0.551724138,0,2,0,0,0,1,4
1,1,0,2,0.579742595,0.448275862,1,3,0,0,0,0,3
0,0,1,1,0.189242101,0.310344828,0,2,1,0,0,0,3
1,1,1,1,0.901890388,0.413793103,0,2,0,0,0,0,3
1,1,0,0,0.674909003,0.379310345,1,1,1,0,1,0,2
0,1,1,0,0.633943939,0.896551724,0,3,1,1,0,0,4
0,1,0,4,0.099557704,0.0,0,1,1,0,0,1,1
2,0,2,1,0.604815516,0.931034483,0,3,1,0,1,0,4
0,1,2,2,0.121046812,0.724137931,0,2,0,0,0,0,4
1,1,2,3,0.078735246,0.965517241,0,3,1,0,0,0,4
1,0,1,2,0.527864124,0.620689655,0,1,0,0,1,0,4
2,1,1,1,0.403195627,0.620689655,0,1,0,0,0,0,4
1,0,0,2,0.589434189,0.172413793,0,3,0,1,0,1,2
0,1,2,2,0.089271837,0.413793103,0,2,1,0,0,0,3
2,0,0,2,0.431425567,0.620689655,0,1,1,0,0,0,4
0,0,0,2,0.174934735,0.413793103,1,4,0,0,0,0,3
2,0,0,4,0.988181817,0.896551724,1,1,1,0,0,0,4
2,0,0,2,0.561742337,0.862068966,0,2,1,0,0,0,4
0,1,1,1,0.688174145,0.724137931,0,1,0,0,0,0,4
0,0,0,2,0.325739444,0.689655172,1,2,1,0,1,1,4
1,1,2,0,0.094794924,0.103448276,0,2,0,0,1,0,2
1,0,0,3,0.976939687,0.793103448,0,1,0,0,1,1,4
0,0,0,1,0.286535187,0.034482759,0,3,1,0,0,0,1
1,0,1,1,0.424242443,0.482758621,1,2,0,0,0,0,4
1,1,0,3,0.650558018,0.379310345,0,3,0,0,0,0,3
0,0,0,2,0.024672798,1.0,1,1,1,0,0,0,4
2,1,2,1,0.811137593,0.896551724,1,2,1,0,0,0,4
0,1,0,2,0.537142071,0.206896552,0,0,1,0,1,0,2
2,1,2,3,0.278484095,0.655172414,1,3,0,0,0,0,4
1,1,0,1,0.061625913,0.586206897,0,3,0,0,0,0,4
1,1,0,3,0.162632311,0.75862069,0,3,1,1,0,1,4
1,1,2,0,0.896009765,0.413793103,0,2,0,1,0,1,3
0,1,0,2,0.686759885,0.551724138,0,3,0,0,1,0,4
2,1,0,3,0.250136083,0.103448276,0,3,0,0,0,0,2
0,1,0,1,0.065623282,0.827586207,0,0,1,0,0,0,4
0,0,0,2,0.69135625,0.448275862,0,1,0,0,1,0,4
0,0,2,1,0.573012791,0.655172414,0,2,0,0,0,0,4
0,0,0,2,0.404931611,0.931034483,0,3,0,1,0,0,4
0,0,2,2,0.363976514,0.413793103,1,0,0,0,0,0,4
0,0,2,2,0.217010605,0.068965517,0,3,0,1,0,0,1
0,1,0,1,0.670328051,0.862068966,0,2,0,0,0,0,4
2,1,3,1,0.971730871,0.862068966,0,2,0,0,0,0,4
2,1,0,0,0.175864334,0.586206897,0,1,0,1,0,1,4
2,1,3,1,0.597750086,0.448275862,0,2,0,1,0,1,4
2,1,0,2,0.424619746,0.482758621,0,0,0,1,0,0,4
2,1,1,3,0.447149279,0.068965517,0,0,0,1,0,0,2
0,1,0,2,0.254386521,0.0,0,3,0,0,1,0,2
0,0,0,2,0.826030437,0.862068966,1,2,0,0,1,0,4
1,0,1,4,0.485760492,0.793103448,1,2,0,0,0,0,4
2,0,2,2,0.543977581,0.551724138,0,1,1,0,1,0,4
0,0,0,3,0.305058332,0.068965517,1,2,0,1,0,0,1
1,1,0,2,0.181964557,0.448275862,0,0,1,1,0,0,4
2,1,2,1,0.08595625,0.068965517,0,2,0,1,0,0,2
0,1,1,0,0.714887095,0.413793103,1,2,0,0,0,0,3
1,0,3,2,0.196406955,0.482758621,0,2,1,0,0,0,4
0,1,2,1,0.690815671,0.586206897,0,4,0,1,0,0,3
0,1,3,1,0.390772275,0.448275862,0,2,0,0,0,0,4
0,1,2,2,0.416199824,0.689655172,0,2,1,0,0,0,4
0,0,0,2,0.469663903,0.862068966,0,2,0,1,0,0,4
1,1,0,2,0.368078282,0.068965517,0,1,0,0,1,0,2
0,0,2,1,0.100682747,0.620689655,0,3,0,1,0,0,4
0,0,1,1,0.309934828,0.24137931,0,2,1,0,0,0,3
2,0,0,2,0.6644444,0.103448276,1,1,1,0,0,0,2
0,0,0,4,0.666496798,0.103448276,0,3,0,0,0,1,1
0,1,3,2,0.286500419,0.620689655,1,0,0,0,0,0,4
1,0,1,3,0.460578602,0.344827586,0,4,1,0,0,1,3
1,0,0,2,0.193616698,0.0,1,3,0,0,0,0,1
0,1,0,2,0.210561005,0.24137931,1,2,0,1,1,0,2
2,1,0,1,0.023020692,0.482758621,0,1,1,1,0,0,4
1,0,0,2,0.897724425,0.0,0,1,0,0,0,0,1
0,1,0,2,0.210895974,0.206896552,0,1,1,0,0,0,3
0,0,0,2,0.227742527,0.689655172,1,1,1,0,0,0,4
0,0,2,2,0.279869932,0.655172414,0,2,1,1,0,1,4
0,0,0,2,0.127501633,0.655172414,0,4,0,0,1,1,4
1,0,2,1,0.639944794,0.793103448,0,2,0,0,0,0,4
0,1,2,2,0.075176438,0.344827586,1,3,0,0,0,0,3
2,0,0,1,0.134303797,0.896551724,0,3,0,0,0,0,4
2,1,1,3,0.645444953,0.965517241,0,3,0,0,0,0,4
1,1,0,1,0.339998155,0.448275862,0,0,0,1,1,1,4
1,1,2,0,0.708708687,0.724137931,1,2,0,1,0,0,4
0,1,0,2,0.558012587,0.517241379,0,3,0,0,0,0,4
2,0,1,2,0.256262568,0.448275862,0,3,0,0,0,1,4
2,1,1,2,0.651523155,0.379310345,0,4,0,0,0,0,3
2,0,0,1,0.116354443,0.551724138,0,3,0,0,0,1,4
0,1,0,2,0.536974071,0.448275862,1,1,0,0,0,0,3
2,1,1,1,0.437597696,0.310344828,0,2,1,0,0,1,2
0,0,2,3,0.268128602,0.793103448,0,0,1,1,0,0,4
0,0,0,3,0.604646382,0.965517241,1,3,0,0,0,0,4
0,0,1,2,0.872282256,0.448275862,1,2,0,0,0,0,3
0,1,0,1,1.0,0.586206897,0,3,0,0,0,0,4
2,1,2,2,0.608408472,0.724137931,0,4,0,0,0,1,4
2,0,0,0,0.405118175,0.275862069,1,3,0,0,1,0,2
0,0,2,2,0.225413076,0.551724138,0,2,1,0,0,1,4
1,0,0,1,0.25733872,0.172413793,1,1,0,0,0,0,3
0,0,0,3,0.479953199,0.24137931,1,3,1,1,1,0,1
1,1,0,0,0.36764698,0.862068966,0,1,0,0,0,0,4
0,0,0,2,0.914812016,0.413793103,1,1,0,0,0,0,4
0,0,1,2,0.368665916,0.586206897,0,1,0,0,0,0,4
0,0,0,2,0.373820958,0.137931034,0,2,1,0,0,0,2
2,0,2,0,0.383922477,0.172413793,0,1,0,0,0,0,3
0,1,0,4,0.837528973,0.689655172,1,4,0,1,1,0,4
1,0,0,2,0.65148348,0.620689655,0,4,1,0,0,0,4
0,1,0,2,0.614821917,0.103448276,0,4,0,0,1,0,1
0,0,0,1,0.334474214,0.206896552,1,0,0,0,0,1,2
0,0,0,2,0.818791427,0.103448276,0,4,0,0,0,0,1
2,1,0,2,0.038355071,0.827586207,0,4,0,0,1,0,4
0,0,0,0,0.87174522,0.344827586,1,4,0,1,0,0,1
1,1,0,1,0.513286391,0.379310345,1,3,0,0,0,0,4
0,1,1,3,0.398655115,0.448275862,1,3,0,1,0,0,2
2,0,1,1,0.49768586,0.413793103,1,1,0,0,0,0,4
0,1,0,1,0.668129802,0.965517241,0,3,1,0,0,0,4
0,1,0,2,0.012727212,0.310344828,0,0,1,0,0,0,4
1,1,3,2,0.872500771,0.586206897,0,2,0,0,0,0,4
0,1,1,0,0.447200141,0.517241379,0,4,0,0,0,0,4
0,1,1,2,0.343307854,0.137931034,0,2,0,1,1,0,1
0,1,0,1,0.138351584,0.24137931,1,1,0,0,0,0,3
2,1,2,0,0.439917629,0.448275862,0,4,0,0,0,0,3
0,1,2,0,0.49684038,0.137931034,0,4,0,1,0,1,1
2,0,1,3,0.404057777,0.862068966,0,1,1,0,0,0,4
0,0,3,1,0.67938729,0.931034483,0,3,0,1,0,0,4
2,1,0,0,0.421327439,0.793103448,0,2,1,0,0,0,4
1,0,0,2,0.962469789,0.24137931,0,2,0,0,1,1,1
2,1,2,3,0.599913468,0.827586207,0,1,0,0,0,0,4
1,1,2,1,0.808353201,0.862068966,0,0,0,0,0,0,4
1,0,0,2,0.109428714,0.172413793,1,1,0,1,0,0,2
2,1,0,0,0.397695071,0.517241379,1,0,0,1,0,0,4
1,1,0,2,0.337182002,0.931034483,0,4,0,0,0,0,4
0,1,0,2,0.57008409,0.103448276,1,3,1,0,0,0,1
1,1,2,2,0.862050437,0.379310345,0,3,0,0,1,0,2
0,0,1,1,0.078375376,0.344827586,0,3,0,0,0,0,3
2,1,0,1,0.072605331,0.068965517,0,1,1,0,0,0,2
0,1,0,1,0.851242216,0.379310345,0,4,1,0,0,0,2
2,1,0,1,0.213041858,1.0,1,3,1,1,0,0,4
0,0,0,0,0.669469063,0.137931034,0,2,0,0,0,0,2
0,1,1,2,0.543449254,0.172413793,1,1,0,1,0,0,2
0,0,3,4,0.833798074,0.620689655,0,3,0,0,0,0,4
1,0,2,4,0.125179805,0.586206897,0,3,0,1,0,0,4
1,1,0,3,0.129879257,0.517241379,1,3,0,0,0,0,4
2,1,2,2,0.557405506,0.75862069,0,0,0,0,0,0,4
2,0,2,2,0.947413578,0.344827586,0,1,1,1,0,0,3
0,1,2,1,0.415421889,0.137931034,0,2,1,1,1,0,1
0,0,0,2,0.327265015,0.275862069,0,3,0,1,0,0,3
2,0,0,2,0.607333793,0.068965517,0,0,0,0,0,0,2
1,1,0,2,0.931465214,1.0,0,2,0,1,0,1,4
0,1,0,2,0.837836949,0.24137931,0,2,0,0,0,0,2
2,0,0,1,0.996574979,0.172413793,0,3,0,0,0,0,1
0,0,0,1,0.022541637,0.103448276,0,2,1,0,0,0,2
1,0,0,3,0.112934982,0.379310345,0,2,0,1,0,0,4
2,0,2,0,0.610115427,0.379310345,0,3,0,0,0,0,3
2,1,0,2,0.821466761,0.827586207,0,4,0,0,0,1,4
1,1,0,3,0.285519328,0.689655172,0,1,1,0,0,0,4
2,1,3,2,0.239433161,0.517241379,0,1,1,0,1,0,4
1,1,3,2,0.787827499,0.310344828,0,4,1,0,1,0,2
0,1,2,1,0.056393774,0.724137931,0,2,0,0,0,0,4
1,0,3,1,0.369754346,0.448275862,0,3,0,0,0,1,4
1,1,1,3,0.506337736,0.413793103,0,3,0,0,0,0,4
